,long,lat,group,order,region,subregion,COUNTYFP
89,-74.06052399,40.61124802,1837,54197,new york,Staten Island,085
90,-74.08344269,40.58832932,1837,54198,new york,Staten Island,085
91,-74.12928009,40.55395126,1837,54199,new york,Staten Island,085
92,-74.16365814,40.53103638,1837,54200,new york,Staten Island,085
93,-74.18657684,40.50811768,1837,54201,new york,Staten Island,085
94,-74.23241425,40.49092865,1837,54202,new york,Staten Island,085
95,-74.27824402,40.48519897,1837,54203,new york,Staten Island,085
96,-74.29544067,40.50811768,1837,54204,new york,Staten Island,085
97,-74.28970337,40.51957321,1837,54205,new york,Staten Island,085
98,-74.26106262,40.53103638,1837,54206,new york,Staten Island,085
99,-74.24386597,40.55395126,1837,54207,new york,Staten Island,085
100,-74.23241425,40.58259964,1837,54208,new york,Staten Island,085
101,-74.2209549,40.61124802,1837,54209,new york,Staten Island,085
102,-74.20376587,40.62270737,1837,54210,new york,Staten Island,085
103,-74.18084717,40.65135574,1837,54211,new york,Staten Island,085
104,-74.16938782,40.65135574,1837,54212,new york,Staten Island,085
